
32644812;eda;200;2022-07-17 03:05:16.249413
32644812;as;200;2022-07-17 03:06:05.361208
32644812;aaaa;200;2022-07-17 03:06:08.339323
32644812;eda;200;2022-07-17 03:06:56.041422
32644812;eda;200;2022-07-17 03:06:59.259355
32644812;travel;2000;2022-07-17 03:07:12.533737
32644812;travel;20000;2022-07-17 03:07:18.880467
32644812;travel;20000;2022-07-17 03:09:02.900365
32644812;travel;20000;2022-07-17 03:09:07.465054
32644812;travel;20000;2022-07-17 03:09:08.075288
32644812;travel;20000;2022-07-17 03:09:08.444006
32644812;travel;20000;2022-07-17 03:09:08.685710
32644812;travel;20000;2022-07-17 03:09:09.075402
32644812;travel;20000;2022-07-17 03:09:09.336632
32644812;eda;200;2022-07-17 03:22:49.733962
32644812;eda;200;2022-07-17 03:22:52.343353
32644812;eda;200;2022-07-17 03:22:59.132138
32644812;eda;2000;2022-07-17 03:24:42.266062
